#MWE	PoS-sequence	annotated	not-annotated
small_town	JJ NN	1	1
had_to	VBD TO	18	17
next_to	JJ IN	1	3
feel_about	RB IN	1	1
put_it	VBN RB	1	1
yelled_at	VBD IN	1	1
satisfied_with	JJ IN	1	4
trust_me	VB PRP	1	2
looked_at	VBD IN	1	1
to_the_point	DT IN DT	1	1
the_point	DT NN	1	2
on_staff	IN NN	1	1
did_it	VBD PRP	1	3
3_star	CD NN	1	2
when_it_comes_to	PRP IN TO WRB	1	1
not~even	RB RB	1	10
went~in	VBD RB	1	3
looking_for	VBG IN	11	9
had_it	VBD PRP	1	4
ve_been_to	VBP VBN IN	1	4
even_though	RB IN	3	8
pleased_with	JJ IN	8	2
no_problem	DT NN	1	1
went_in	VBD RB	3	3
because_of	IN IN	6	4
going_back	VBG RB	1	5
came_in	VBD RB	9	1
feel_good	VB JJ	1	2
cares_about	VBZ IN	1	1
due_to	IN IN	9	1
moved_in	VBD RB	1	3
took_on	VBD RP	1	1
to_see	TO TO	1	27
according_to	VBG IN	2	1
around~the~corner	IN DT NN	2	1
not_only	RB RB	4	10
disappointed_with	JJ IN	1	2
took_off	VBN RP	1	1
	VBG RB	3	1
say_no	VB UH	1	1
make_the	DT VB	1	1
way_to_go	NN TO VB	1	1
going_to	VBG TO	4	16
top~quality	JJ NN	1	1
impressed_with	JJ IN	1	4
walk_out	VB RB	1	1
back~in	RB RB	3	6
must~be~doing~something~right	MD VB VBG NN RB	1	1
no~problem	DT NN	1	1
been_to	VBN IN	1	9
as_far_as	RB RB IN	1	1
a_treat	DT NN	1	1
and_now	CC RB	1	7
five_stars	CD NNS	1	1
pleasantly~surprised	RB VBN	2	2
closing~time	NN NN	1	1
in_that	IN DT	1	1
or_so	CC RB	2	7
out_ta	IN IN	1	1
such_as	JJ IN	1	1
come_back	VB RB	1	2
along_with	IN IN	2	1
had_on	VBD RB	1	5
have_to_say	VBP TO VB	1	1
rip_off	NN NN	1	1
in_the_middle_of	RB DT IN DT	1	3
work~hard	VB RB	1	1
local_business	JJ NN	1	2
comment_on	VBP IN	1	1
walked_away	VBD RB	1	1
are_into	VBP IN	1	1
even_tho	RB IN	1	8
so_that	WDT IN	1	7
coupled_with	IN VBN	1	1
outside_of	IN IN	1	1
were_going_to	VBD VBG TO	1	2
is_about	VBZ IN	1	2
on_time	NN IN	10	1
came_up	VBD RB	1	1
pretty~good	RB JJ	1	1
be_sure	VB JJ	1	1
take_on	IN VB	1	1
spoken_to	TO TO	3	1
for_example	IN IN	1	1
well_done	RB VBN	4	1
a_pleasure	DT DT	1	1
the_hilton	DT DT	1	1
buying_from	VBG IN	1	2
each_other	DT JJ	1	1
paying_for	VBG IN	1	2
worked_with	VBD IN	10	1
good~fun	JJ NN	1	1
gon_na	VBG TO	1	1
going_on	VBG RP	2	1
t_'s	NNP POS	1	73
worth_it	PRP JJ	3	2
to_do	TO VB	1	24
in_fact	IN NN	7	1
have_to	VBP TO	27	16
not~that~great	RB RB JJ	1	1
medical_school	JJ NN	1	1
nothing_but	NN IN	1	3
is_going_to	VBZ TO VBZ	1	1
wedding_day	NN NN	2	1
if_ever	IN RB	1	2
put_in	VBN IN	1	2
good~work	JJ NN	1	1
great~job	JJ NN	1	9
moved~in	VBD RB	1	3
spoke_to	VBD IN	1	1
take_of	VBP IN	1	1
write_reviews	VBP NNS	1	2
g_1	NN CD	1	1
even_if	RB IN	1	8
based_on	VBN IN	1	1
these~guys	DT NNS	2	15
have_been	VBP VBN	1	50
the_same	DT DT	1	32
for_sure	IN JJ	2	1
have_yet_to	VBP RB TO	1	1
get_it	VB PRP	2	5
in_town	IN NN	8	1
work_on	VB IN	2	3
a_little	DT NN	16	10
lack_of	NN IN	1	6
u_of_r	NNP IN NNP	1	1
out_of	IN IN	6	9
thanks_again	NN RB	3	2
as_well_as	RB RB RB	4	2
compared_to	VBN IN	2	4
criminal_attorney	JJ NN	1	1
look_at	VBP IN	1	2
how_to	WRB TO	1	6
go_with	VB IN	1	1
all_over	RB IN	2	4
walked_out	VBD RB	2	2
stay_away	VB RB	2	5
fast~and~friendly	JJ CC JJ	1	1
#_1	NN CD	2	2
more_than	JJR IN	1	7
close_to	JJ IN	2	5
thanks_guys	NN NNS	1	1
that_said	DT VBN	1	2
at_all	RB RB	4	12
back~for~more	VBP IN	1	1
the_real_thing	DT JJ NN	1	1
went_through	VBD IN	1	1
some_place	DT NN	1	1
a_ton	DT NN	1	1
when_in	WRB IN	1	1
not~so	RB RB	1	5
the_grill	DT NNP	1	3
make_sure	VB JJ	7	1
at_that	IN DT	1	2
work_done	NN VBN	1	2
can_be_assured	VB MD VB	1	1
working_with	VBG IN	3	1
dental_work	JJ NN	1	1
sort_of	RB RB	1	2
and_yet	CC CC	1	2
the_fact_that	DT NN IN	2	3
all_about	RB IN	2	1
as~possible	RB IN	2	3
was_about_to	VBD JJ TO	1	1
highly~recommended	RB VBN	14	1
nice~and~quiet	JJ CC JJ	1	1
know_what_they_'re_doing	PRP VB WP PRP VBP	1	1
good_job	JJ NN	1	2
talk_to	TO VB	1	2
got_to	VBD IN	3	3
trust~me	VB PRP	1	2
turning_to	IN TO	1	1
a_couple	DT DT	13	2
to_go	TO TO	1	32
i_figure	PRP VBP	1	2
would_like~to~thank	MD VB TO VB	1	1
supposed_to	TO VBN	1	6
as_to	IN IN	2	20
dine_in	VB RB	1	2
aside_from	RB IN	1	1
not~sure	RB JJ	1	1
felt_like	VBD IN	1	3
apart_from	RB IN	2	1
listened_to	VBD IN	2	2
go~in	VBP RB	1	2
was_going_to	VBD VBG TO	4	3
of_course	RB RB	5	1
too_much	RB JJ	1	5
looks_like	VBZ IN	1	2
have_been_to	VBP VBN IN	6	2
go_over	VB IN	2	1
talking_to	VBG IN	1	1
a_few	DT JJ	13	12
involved_in	VBN IN	1	1
thank_you	VBP PRP	26	2
so_long	RB RB	1	1
used_to	VBD TO	7	9
not_even	RB RB	2	10
go_to	IN VB	1	28
on_business	IN IN	1	1
kind_of	RB RB	1	14
sales_man	NNS NN	1	1
just_about	RB RB	1	3
off_of	IN IN	1	2
not_to_mention	RB TO VB	3	1
first_time	JJ NN	1	10
lace_up	VB RP	1	1
a~long~time	DT JJ NN	1	2
came_to	VBD TO	1	3
seems_like	VBZ IN	1	2
nice~and	JJ CC	1	11
no_one	DT CD	3	2
wrong_with	JJ IN	2	2
work_with	VBP IN	12	1
a_shame	DT NN	2	1
interested_in	JJ IN	5	1
speak_to	TO VB	1	1
having_to	VBG TO	4	1
on_top_of	IN NN IN	2	1
at_first	RB RBS	1	1
count_on	VB IN	1	3
make_it	VB PRP	1	4
you~guys	PRP NNS	2	3
you_guys	PRP NNS	3	3
at_night	IN NN	1	2
come_to	VBN TO	1	3
less_than	JJR IN	1	7
referred_to	TO VBN	1	3
auto_repair	NN NN	1	2
as_well	RB RB	7	9
that_being_said	DT VBG VBN	1	1
problem_with	NN IN	1	2
want_to	VB TO	1	23
go_back	VB RB	1	15
of~the~year	IN DT NNP	4	2
out_there	RB RB	1	3
on_campus	IN NN	1	1
family_fun	NN NN	1	1
deal_with	VB IN	9	1
looking_to	IN VBG	1	5
been_going_to	VBN VBG IN	3	1
high~quality	JJ NN	1	2
get_into	VB IN	1	1
a_bit	DT NN	12	4
like_it	VBP PRP	1	9
the_usual	DT JJ	1	5
asked_for	VBD IN	5	6
listen_to	TO VB	1	3
as_long_as	RB RB RB	1	1
ask_for	VB IN	3	3
pizza_place	NN NN	1	2
coming~from	VBG IN	1	3
come_on	VB RP	1	1
have_to~say	VBP TO VB	1	1
money_back	NN RB	1	1
gets_busy	VBZ JJ	1	1
sales_manager	NNS NN	1	1
has_to	VBZ TO	3	1
had_time	VBD NN	1	1
attention_to_detail	NN IN NN	2	1
happy_with	JJ IN	5	4
at_least	RB RBS	10	2
cost~effective	NN JJ	1	1
came_back	VBD RB	3	2
highly~recommend	RB VB	30	3
instead_of	RB IN	2	3
daily~specials	JJ NNS	1	1
well~worth_it	RB JJ PRP	1	1
wait_for	VB IN	2	3
coming_in	RB IN JJR	1	1
beware_of	VB IN	1	1
help_with	VB IN	1	1
use_to	VBD TO	1	4
proud_of	JJ IN	1	1
far_from	RB IN	1	1
a_lot	DT DT	33	0
customer_service	NN NN	31	0
year_old	NN JJ	10	0
by_far	IN RB	8	0
oil_change	NN NN	7	0
came_out	VBD RB	7	0
took_the_time	NN VBD DT	7	0
take_care_of	IN VB NN	7	0
front_desk	JJ NN	7	0
top_notch	JJ NN	6	0
pick_up	VB RP	6	0
at_best	RB RBS	6	0
wait_staff	NN NN	5	0
last_minute	JJ NN	5	0
worth_every_penny	JJ DT NN	5	0
dealing_with	VBG IN	5	0
check_out	VB RP	5	0
ended_up	VBD RP	5	0
5_star	CD NN	5	0
over_the_phone	IN DT NN	4	0
5_stars	CD NNS	4	0
show_up	VB RP	4	0
dr._shady	NNP NNP	4	0
phone_call	NN NN	4	0
so_far	RB RB	4	0
set_up	VB RP	4	0
in_front_of	IN NN IN	4	0
gave_up	VBD RP	4	0
taken_care_of	VBN NN IN	4	0
up_front	RB RB	4	0
santa_fe	NNP NNP	4	0
second_home	JJ NN	4	0
over_priced	GW JJ	4	0
take_the_time	VB DT NN	4	0
in_stock	IN NN	4	0
mezza_luna	NN NN	4	0
cleaned_up	VBN RP	4	0
dealt_with	VBN IN	4	0
a_number_of	DT NN IN	4	0
stop_in	VB VBP	4	0
all_the_time	PDT DT NN	4	0
call_back	VB RP	4	0
new_jersey	NNP NNP	3	0
thanks_to	NN IN	3	0
month_old	NN JJ	3	0
in_business	IN NN	3	0
parking_lot	NN NN	3	0
oil_changes	NN NNS	3	0
dr._romanick	NNP NNP	3	0
west_indian	JJ JJ	3	0
wheel_lock	NN NN	3	0
quite~a_bit	DT PDT DT	3	0
no_matter	RB RB	3	0
garage_door	NN NN	3	0
auto_towing	NNP NNP	3	0
sales_guy	NNS NN	3	0
new_york	NNP NNP	3	0
stop_by	VBP IN	3	0
credit_card	NN NN	3	0
is_a_joke	VBZ DT NN	3	0
out_of_business	IN IN NN	3	0
night_out	NN RB	3	0
lake_forest_tots	NNP NNP NNPS	3	0
check_in	VB RP	3	0
home_delivery_service	NNP NNP NNP	3	0
hands_down	NNS RB	3	0
worked_on	VBD IN	3	0
fast_food	NN JJ	3	0
high_end	JJ NN	3	0
just_autos	NNP NNPS	3	0
line_up	NN NN	3	0
the_laundry_tub	DT NNP NNP	3	0
high_school	JJ NN	3	0
went_out	VBD RP	3	0
turned_out	VBD RP	3	0
hidden~gem	JJ NN	3	0
take_out	NN NN	3	0
doctor_hank	NNP NNP	3	0
come_across	VB RB	3	0
paid_for	VBD IN	3	0
dr._mann	NNP NNP	3	0
carry_out	VB RP	3	0
texas_roadhouse	NNP NNP	3	0
right_away	RB RB	3	0
for~some~reason	IN DT NN	3	0
test_drive	NN NN	3	0
showed_up	VBD RP	3	0
mental_health	JJ NN	3	0
07_ford_fusion	CD NNP NNP	2	0
graphic_design	JJ NN	2	0
boys_in_blue	NNS IN JJ	2	0
endo_sushi	NNP NNP	2	0
search_engine_optimization	NN NN NN	2	0
to_boot	TO VB	2	0
one_bit	CD NN	2	0
radison_warwick	NNP NNP	2	0
decor_and_you	NNP CC NNP	2	0
as_if	IN IN	2	0
video_cable	NN NN	2	0
china_delight	NNP NNP	2	0
go_-_to	VB HYPH IN	2	0
foie_gras	NN NN	2	0
full_price	JJ NN	2	0
over_the_years	DT IN DT	2	0
the_real_deal	DT JJ NN	2	0
fitness_unlimited	NNP NNP	2	0
are_going_to	VBP VBG TO	2	0
up~and~down	RB CC RB	2	0
on_duty	IN NN	2	0
dropped_off	VBD RP	2	0
filled_with	VBN IN	2	0
fraiser_'s	NNP POS	2	0
back_pain	NN NN	2	0
2001_nissan_frontier	CD NNP NNP	2	0
argue_with	VB IN	2	0
figure_out	VB RP	2	0
by_the_way	IN DT NN	2	0
chest_of_drawers	IN NN IN	2	0
in_general	IN JJ	2	0
over_cooked	AFX VBN	2	0
tire_gooroo	NNP NNP	2	0
talk_down_to	VBP RB IN	2	0
cuban_coffee	JJ NN	2	0
la_jolla	NNP NNP	2	0
let_alone	VB RB	2	0
main_room	JJ NN	2	0
picking_up	VBG RP	2	0
picked_up	VBD RP	2	0
fort_worth	NNP NNP	2	0
you_get_what_you_pay_for	PRP PRP VBP WP PRP PRP	2	0
comfort_zone	NNP NNP	2	0
mind_blowing	NN VBG	2	0
working_out	VBG RP	2	0
one_-_on_-_one	CD CD HYPH HYPH IN	2	0
enrolled_in	VBN IN	2	0
are_to_die_for	VBP TO VB IN	2	0
ham_s	NNP POS	2	0
bring_in	VB RB	2	0
dr_david_nelson	NNP NNP NNP	2	0
check_card	NN NN	2	0
come_in	VB RB	2	0
sales_men	NNS NNS	2	0
room_temperature	NN NN	2	0
from~start~to~finish	IN NN IN NN	2	0
air_conditioning	NN NN	2	0
go_to_school	TO VB IN	2	0
look_forward_to	VBP RB IN	2	0
el_paradero	NNP NNP	2	0
passed_away	VBD RB	2	0
rittenhouse_square	NNP NNP	2	0
do_business	VB NN	2	0
road_test	NN NN	2	0
rear_window	JJ NN	2	0
jazz_club	NNP NNP	2	0
first_class	JJ NN	2	0
checking_out	VBG RP	2	0
grew_up	VBD RP	2	0
prominent_builders	NNP NNPS	2	0
attended_to	VBN IN	2	0
checked_out	VBN RP	2	0
health_care_proxy	NNP NNP NNP	2	0
in_between	IN IN	2	0
garage_pros	NNP NNPS	2	0
physical~address	JJ NN	2	0
many~thanks	JJ NNS	2	0
mixed_bag	JJ NN	2	0
range_rover_sport	NNP NNP NNP	2	0
eagle_transmission	NNP NNP	2	0
at_this_point	IN DT NN	2	0
bloody_mary	JJ NN	2	0
save~yourself~the~trouble	VB PRP DT NN	2	0
property_management	NN NN	2	0
sweet_potato	JJ NN	2	0
ripped_off	VBN RP	2	0
dr_nelson	NNP NNP	2	0
alan_'s	NNP POS	2	0
hickory_furniture_mart	NNP NNP NNP	2	0
client_base	NN NN	2	0
web_site	NN NN	2	0
deep_tissue	JJ NN	2	0
mama_mia_'s	NNP NNP POS	2	0
found_out	VBD RP	2	0
came_through	VBD RB	2	0
signs_of_saltford	NNPS IN NNP	2	0
in_person	IN NN	2	0
farrell_electric	NNP NNP	2	0
home_team	NN NN	2	0
brickell_honda	NNP NNP	2	0
next_door	JJ NN	2	0
watch_out_for	VB RP IN	2	0
criminal_defense_lawyer	JJ NN NN	2	0
run_down	VBN RP	2	0
