PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
VBD-served	2	2	social	1	stative	1																		
VBG-putting	4	6	social	3	body	1	stative	1	contact	1														
NN-counter	2	5	location	4	artifact	1																		
NN-car	4	86	artifact	83	person	1	group	1	event	1														
VBG-installing	2	2	contact	1	social	1																		
JJ-back	2	2	cognition	1	location	1																		
NN-leader	2	2	person	1	group	1																		
VBN-beat	2	2	competition	1	stative	1																		
NN-dinner	3	14	event	8	food	5	artifact	1																
NN-paperwork	2	2	communication	1	act	1																		
IN-behind	2	2	`	1	cognition	1																		
VBP-look	3	6	perception	3	cognition	2	communication	1																
NN-back	5	11	body	4	state	3	location	2	relation	1	time	1												
NN-haircut	2	6	act	5	event	1																		
NN-e-commerce	2	2	cognition	1	group	1																		
NN-planning	2	3	act	2	cognition	1																		
VBN-stayed	2	9	social	8	motion	1																		
PRP-i	3	5	`	3	group	1	cognition	1																
CD-3	2	2	attribute	1	quantity	1																		
NN-warehouse	2	3	location	2	artifact	1																		
NN-program	2	7	group	6	cognition	1																		
NN-set	3	4	artifact	2	`	1	act	1																
NN-desk	2	5	artifact	3	location	2																		
NN-example	2	2	`	1	cognition	1																		
VBN-mixed	2	3	cognition	2	`j	1																		
JJ-pure	2	2	attribute	1	group	1																		
NN-month	3	11	time	7	person	3	attribute	1																
VBN-promised	2	6	communication	5	cognition	1																		
CD-one	5	7	communication	3	attribute	1	`	1	cognition	1	quantity	1												
NN-fear	3	4	cognition	2	feeling	1	attribute	1																
NN-addition	3	3	event	1	artifact	1	act	1																
NN-wife	2	18	person	17	group	1																		
NNP-alan	2	3	group	2	person	1																		
VBN-blessed	2	2	cognition	1	stative	1																		
NNS-trees	2	2	plant	1	natural object	1																		
VBP-want	2	35	cognition	34	possession	1																		
NN-confidence	2	2	cognition	1	feeling	1																		
VB-rate	2	5	cognition	3	communication	2																		
VBD-rang	2	2	possession	1	perception	1																		
NNS-dogs	2	10	animal	9	food	1																		
NN-condition	3	6	state	3	attribute	2	cognition	1																
VBN-finished	3	5	`j	2	change	2	stative	1																
NN-strip	2	2	group	1	artifact	1																		
VBD-retired	2	2	`j	1	social	1																		
NN-party	2	5	event	3	group	2																		
NNS-years	2	41	time	39	`	2																		
NN-sticker	2	2	possession	1	artifact	1																		
NN-care	3	11	act	8	cognition	2	social	1																
NN-method	2	2	process	1	cognition	1																		
VBD-was	3	643	stative	500	`a	142	social	1																
NNP-nyc	2	7	location	5	food	2																		
MD-ca	2	3	cognition	2	stative	1																		
VBG-working	5	19	social	13	body	2	stative	2	`j	1	contact	1												
NN-money	2	32	possession	30	`	2																		
VBD-felt	3	15	cognition	11	emotion	2	perception	2																
VBG-getting	8	22	social	5	possession	4	stative	4	change	3	body	2	motion	2	cognition	1	communication	1						
VB-regret	2	3	emotion	2	cognition	1																		
VBD-hit	3	3	cognition	1	change	1	`	1																
NN-deal	4	10	possession	7	cognition	1	communication	1	act	1														
VB-train	2	2	cognition	1	social	1																		
VBG-feeling	4	4	body	1	cognition	1	perception	1	emotion	1														
NN-bus	2	4	artifact	3	person	1																		
VB-see	5	44	perception	17	social	15	cognition	10	communication	1	stative	1												
VBN-returned	2	3	possession	2	motion	1																		
NNP-university	2	2	group	1	location	1																		
VBD-recieved	2	2	possession	1	stative	1																		
NNS-stars	2	3	attribute	2	communication	1																		
JJ-hard	3	4	act	2	state	1	artifact	1																
NN-year	4	35	time	26	person	7	animal	1	cognition	1														
NN-thing	3	18	`	16	artifact	1	act	1																
NN-block	3	3	relation	1	location	1	quantity	1																
VBG-having	5	18	stative	7	social	5	`a	3	cognition	2	possession	1												
NNS-folks	2	4	person	2	group	2																		
VB-smile	2	2	body	1	stative	1																		
NN-water	3	8	food	4	natural object	3	artifact	1																
VB-step	2	2	motion	1	stative	1																		
VBZ-takes	3	8	stative	6	cognition	1	social	1																
VBD-quoted	2	2	possession	1	communication	1																		
VBN-impressed	2	3	cognition	2	emotion	1																		
VBZ-comes	4	9	stative	5	motion	2	cognition	1	social	1														
VBN-called	2	3	communication	2	stative	1																		
NN-change	3	4	cognition	2	process	1	act	1																
NN-estimate	2	4	possession	2	communication	2																		
PRP-you	3	6	group	3	`	2	competition	1																
NNP-london	2	2	group	1	location	1																		
VB-copy	2	3	creation	2	change	1																		
NN-%	3	15	`	8	quantity	6	relation	1																
NNP-mo	2	2	person	1	location	1																		
VB-watch	2	3	cognition	2	perception	1																		
JJ-mobile	2	2	communication	1	group	1																		
NNP-red	2	2	group	1	artifact	1																		
VBN-taught	2	3	cognition	2	communication	1																		
VBD-gave	7	28	possession	9	communication	6	stative	5	cognition	4	social	2	emotion	1	motion	1								
VBD-started	2	6	stative	4	change	2																		
VB-do	6	109	`a	54	stative	28	social	22	cognition	2	change	2	competition	1										
VB-relax	2	3	cognition	2	emotion	1																		
VB-hear	2	4	perception	3	communication	1																		
NN-walk	2	2	person	1	act	1																		
NN-provider	2	2	person	1	group	1																		
VBN-ordered	2	3	communication	2	possession	1																		
VBP-hear	2	2	communication	1	perception	1																		
NN-case	2	2	cognition	1	quantity	1																		
JJ-main	2	3	artifact	2	communication	1																		
VBD-kept	3	11	stative	7	`a	3	change	1																
VBD-grew	2	2	change	1	social	1																		
NN-mpg	2	2	relation	1	quantity	1																		
NN-life	6	15	phenomenon	5	time	4	process	2	cognition	2	person	1	state	1										
NN-treatment	3	13	cognition	7	event	5	act	1																
VBG-driving	3	9	motion	7	cognition	1	stative	1																
VBG-eating	2	8	consumption	7	social	1																		
VB-make	8	36	cognition	11	stative	7	creation	6	social	4	communication	3	possession	2	motion	2	change	1						
VBN-broken	2	2	contact	1	change	1																		
JJ-fast	2	3	food	2	cognition	1																		
NN-rest	3	5	quantity	3	food	1	group	1																
NN-club	2	4	group	3	food	1																		
NN-door	2	7	artifact	6	location	1																		
NN-stuff	4	8	artifact	4	food	2	`	1	other	1														
NN-game	2	3	event	2	cognition	1																		
VBZ-cares	2	4	emotion	3	cognition	1																		
NNP-god	2	2	`	1	cognition	1																		
NNP-hino	2	4	group	2	artifact	2																		
NN-street	3	11	location	9	artifact	1	act	1																
NN-status	2	2	cognition	1	state	1																		
NN-personality	2	4	attribute	3	cognition	1																		
VB-seem	2	6	cognition	5	perception	1																		
VBD-waited	3	9	cognition	5	stative	2	social	2																
NN-half	3	5	quantity	2	time	2	relation	1																
NNS-lines	2	6	cognition	5	artifact	1																		
NN-household	2	3	cognition	2	group	1																		
NNP-blue	2	5	group	4	communication	1																		
NN-disappointment	2	3	feeling	2	cognition	1																		
NN-quality	3	39	attribute	30	cognition	8	`	1																
NN-identity	2	2	cognition	1	act	1																		
