#MWE	annotated	not-annotated
stationary phase	20	0
federal government	14	0
national team	12	0
Prime Minister	10	0
constitutional monarchy	9	0
Roman Catholic	7	0
Secretary of State	7	0
takes the role	7	0
called for	7	1
armor rating	6	0
birth asphyxia	6	0
district attorney	6	0
family members	6	0
season finale	6	0
state schools	6	0
tea ceremony	6	0
attorney general	5	0
brain damage	5	0
carried out	5	0
high school	5	0
laser bay	5	0
Navy SEAL	5	0
patrol boat	5	0
pointed out	5	0
political economy	5	0
program director	5	0
royal dynasty	5	0
series finale	5	0
set out	5	0
shock wave	5	0
camp life	4	0
catch up	4	0
classical music	4	0
Gonzo journalism	4	0
Green Berets	4	0
grew up	4	0
Holtzman effect	4	0
hypothermic neural rescue	4	0
indoor season	4	0
lives on	4	0
neonatal researchers	4	0
passed on	4	0
Public Law	4	0
secondary energy failure	4	0
selective calling	4	0
set up	4	0
target chamber	4	0
television series	4	0
thinking machines	4	0
took part	4	0
video game	4	0
whole body cooling	4	1
looking for	4	3
anion exchange sorbents	3	0
arrest warrant	3	0
Auxiliary Bishop	3	0
best known	3	0
call letters	3	0
called on	3	0
carry out	3	0
cation exchange sorbents	3	0
caught up	3	0
centre city	3	0
civil society	3	0
class struggle	3	0
ended up	3	0
executive boxes	3	0
experimental chamber	3	0
falls in love	3	0
FBI Special Agent	3	0
find out	3	0
FM Programmer	3	0
food poisoning	3	0
game engine	3	0
graphic novel	3	0
human nature	3	0
interfering signals	3	0
laser energy	3	0
lead role	3	0
light industrial	3	0
meeting place	3	0
neural rescue	3	0
office holder	3	0
pickled vegetables	3	0
Political Science	3	0
positively charged	3	0
prequel trilogy	3	0
provincial bank	3	0
qualifying matches	3	0
resource rights	3	0
restoration works	3	0
running for	3	0
SEAL team	3	0
secular education	3	0
sense of humor	3	0
short stories	3	0
soap opera	3	0
social relations	3	0
soy sauces	3	0
sports complex	3	0
square meters	3	0
state of the art	3	0
taken on	3	0
target area	3	0
turned out	3	0
turns on	3	0
wheat pool	3	0
political crisis	3	1
religious instruction	3	1
brand new	3	1
religious classes	3	1
presidential campaign	3	2
went on	3	2
adult brain	2	0
angiostrongylus meningitis	2	0
art galleries	2	0
art gallery	2	0
Assistant Secretary of State for Economic Affairs	2	0
Attorney General	2	0
audio CD	2	0
boat crew	2	0
brain cells	2	0
brain protection	2	0
breaks up	2	0
broke down	2	0
brought to life	2	0
business letter	2	0
call sign	2	0
called out	2	0
called upon	2	0
came out	2	0
campaign trail	2	0
carried over	2	0
carrier squelch	2	0
cellophane noodles	2	0
central city	2	0
cerebral insults	2	0
cerebral metabolism	2	0
cerebral palsy	2	0
chain reaction	2	0
championship cars	2	0
championship game	2	0
checking on	2	0
Chief Justice	2	0
city centre	2	0
Civil Rights movement	2	0
college prospects	2	0
commanding officer	2	0
commit suicide	2	0
commodity fetishism	2	0
covenant schools	2	0
cricket club	2	0
cultural centers	2	0
DC voltage	2	0
de facto	2	0
designated marksman 's rifle	2	0
difficulty level	2	0
District Attorneys	2	0
divine worship	2	0
Doctorat d'Etat	2	0
documentary film	2	0
drinking water	2	0
economic relations	2	0
effective range	2	0
election campaign	2	0
ends up	2	0
episode order	2	0
excitatory neurotransmitters	2	0
executive producers	2	0
experimental area	2	0
faecal coliforms	2	0
falling	2	0
family friends	2	0
family home	2	0
family name	2	0
fat pigs class	2	0
fellow cadets	2	0
film adaptation	2	0
foldspace travel	2	0
folk music	2	0
folk musician	2	0
followed up	2	0
founding father	2	0
founding member	2	0
frying oil	2	0
full time	2	0
fusion power	2	0
fusion reactions	2	0
fusion yield	2	0
gate controlled	2	0
general election	2	0
general manager	2	0
get along	2	0
giving up	2	0
glass optics	2	0
go ahead	2	0
go by	2	0
gone through	2	0
government expenditures	2	0
Green Beret	2	0
grocery stores	2	0
ground development	2	0
growing up	2	0
head cooling device	2	0
head down	2	0
held a degree	2	0
hidden tracks	2	0
Higher Diploma	2	0
hockey matches	2	0
Holtzman field	2	0
human consumption	2	0
human race	2	0
human society	2	0
hydrocarbon chains	2	0
hypothermic neural rescue therapy	2	0
Indicator organisms	2	0
indicator organisms	2	0
infrared light	2	0
inner circle	2	0
interference issues	2	0
interstellar travel	2	0
intracellular calcium accumulation	2	0
junior counselor	2	0
junior counselors	2	0
Justices of the Peace	2	0
kept secret	2	0
laser amplifiers	2	0
laser power	2	0
lasgun beam	2	0
left behind	2	0
letter bomb	2	0
literary work	2	0
long term relationship	2	0
look after	2	0
made an application	2	0
make way	2	0
material world	2	0
meeting up	2	0
met up	2	0
metal foil	2	0
military expeditions	2	0
military training	2	0
Minister of Education	2	0
Minister of Justice	2	0
Minister of the Interior	2	0
morning news program	2	0
motion picture industry	2	0
moved back	2	0
natural science	2	0
Nd : glass amplifiers	2	0
Nd : glass lasers	2	0
necrotic cell death	2	0
negatively charged	2	0
news department	2	0
nuclear weapons research	2	0
nutrient medium	2	0
oil filtering powder	2	0
oldies format	2	0
only child	2	0
only daughter	2	0
opened up	2	0
opposition parties	2	0
pass on	2	0
per capita	2	0
pesticide use	2	0
physical therapist	2	0
pilot studies	2	0
playoff semifinals	2	0
point out	2	0
police officer	2	0
political economists	2	0
political news magazine	2	0
political party	2	0
post-insult hypothermia	2	0
postgraduate studies	2	0
President of the Republic	2	0
Prince Regent	2	0
private property	2	0
provincial election	2	0
provincial government	2	0
public opinion	2	0
public schools	2	0
pulled over	2	0
pulled the plug	2	0
put an end	2	0
quarterback position	2	0
radio station	2	0
radio system	2	0
ran for	2	0
ranger station	2	0
receive audio	2	0
report card	2	0
rice protein	2	0
rocket engine	2	0
romantic nationalism	2	0
ruling class	2	0
school newspaper	2	0
Scientific Research	2	0
season points	2	0
Secretary General	2	0
security guard	2	0
Selective calling	2	0
senior counselor	2	0
serial dilutions	2	0
set about	2	0
set aside	2	0
sets out	2	0
sex theater	2	0
shopping malls	2	0
sluice gates	2	0
snail meat	2	0
solid phase extraction	2	0
sound waves	2	0
space pirate	2	0
sponsorship deal	2	0
sports editor	2	0
sports ground	2	0
squelch system	2	0
staff members	2	0
stage production	2	0
starting position	2	0
state of affairs	2	0
stationary phase.	2	0
stationary phases	2	0
stock car races	2	0
stock car series	2	0
summer vacation	2	0
surf zone	2	0
suspensor-nullification effect	2	0
take place	2	0
take up	2	0
takes credit	2	0
taking place	2	0
teddy bears	2	0
television show	2	0
test fire	2	0
test results	2	0
time displacement equipment	2	0
time portal	2	0
tone squelch	2	0
